Nombre,Departamento,Ciudad,Direccion,HoraDeApertura,HoraDeCierre,Facebook,Instagram,Web,Descripcion,Imagen,Latitud,Longitud,TipoDeLugar,RestriccionDeEdad,EnfoqueDePersonas,Megusta,puntosinteres_id,Tipo,Telefonos
Estación de servicio Ancap,Montevideo,Montevideo,C. Martín García 1656 11800 Montevideo Departamento de Montevideo,0:00:00,23:59:59,,,https://www.ancap.com.uy/,Nafta y viveres,https://www.ancap.com.uy/,3488694,5625495,Ambas,Todas,Grupo,10,,Estaciones de Servicio,0
Estación de Servicio Axion,Montevideo,Montevideo,Av. Gral. Eugenio Garzón 425 12900 Montevideo Departamento de Montevideo,0:00:00,23:59:59,,,https://www.axionenergy.com/Paginas/index.aspx,Nafta y viveres,https://lh5.googleusercontent.com/p/AF1QipO3T1moY_qfWxJOzpDu6ZkZ1j7UVWq069EKD_zO=w408-h306-k-no,3484660,5629284,Ambas,Todas,Grupo,10,,Estaciones de Servicio,23061066
Estación Servicio Petrobras,Montevideo,Montevideo,Gral. Pagola 2340 11800 Montevideo Departamento de Montevideo,0:00:00,23:59:59,,,http://www.petrobras.com.uy/,Nafta y viveres,http://www.petrobras.com.uy/,3487114,5618610,Ambas,Todas,Grupo,10,,Estaciones de Servicio,24092525
ANCAP Marne ltda Venta de Garrafas,Montevideo,Montevideo,Bv. José Batlle y Ordóñez 3855 11600 Montevideo Departamento de Montevideo,0:00:00,23:59:59,,,http://marneltda.vitrinevirtual.net/,Nafta y viveres,https://lh5.googleusercontent.com/p/AF1QipPpODkoLbbgMr3HaYYta-advtID9mOhw7kB3aHa=w408-h306-k-no,3487114,5618610,Ambas,Todas,Grupo,10,,Estaciones de Servicio,24816104
AXION,Montevideo,Montevideo,12100 Montevideo Departamento de Montevideo,0:00:00,23:59:59,,,https://www.axionenergy.com/Paginas/index.aspx,Nafta y viveres,https://lh5.googleusercontent.com/p/AF1QipMGMQeB6rPnLRY_zfpmo_-BG1_Aw6bIv4fDBqPK=w426-h240-k-no,3487114,5618610,Ambas,Todas,Grupo,10,,Estaciones de Servicio,25148340
Axion Energy,Montevideo,Montevideo,Axion Energy,0:00:00,23:59:59,,,https://www.axionenergy.com/Paginas/index.aspx,Nafta y viveres,https://www.axionenergy.com/Paginas/index.aspx,3487114,5618610,Ambas,Todas,Grupo,10,,Estaciones de Servicio,22152120
AXION Delmar SRL Estación de servicio,Montevideo,Montevideo,Cambay 2504 12100 Montevideo Departamento de Montevideo,0:00:00,23:59:59,,,https://uy.latinoplaces.com/montevideo/axion-delmar-srl-estacion-1336534,Nafta y viveres,https://lh5.googleusercontent.com/p/AF1QipMkWd8jn7amlN_vkuzF_U7xD9amhk3p-Jd0W4dk=w426-h240-k-no,3487114,5618610,Ambas,Todas,Grupo,10,,Estaciones de Servicio,25251384
DISA,Montevideo,Montevideo,Bv. José Batlle y Ordóñez 5500 12900 Montevideo Departamento de Montevideo,0:00:00,23:59:59,,,Bv. José Batlle y Ordóñez 5500, 12900 Montevideo, Departamento de Montevideo,Nafta y viveres,https://lh5.googleusercontent.com/p/AF1QipPj2_8lnnvfJKK4p9PIe3tIGiO38fiPyCmndA-S=w408-h305-k-no,3483855,5627076,Ambas,Todas,Grupo,10,,Estaciones de Servicio,23595249
ANCAP,Montevideo,Montevideo,Cd Vieja 11000 Montevideo Departamento de Montevideo,0:00:00,23:59:59,,,http://www.ducsa.com.uy/estaciones,Nafta y viveres,https://lh5.googleusercontent.com/p/AF1QipNraIVFBlfQBZIFxgj9VJTsw2DD6Gl4ldDPTJAS=w426-h240-k-no,3491027,5627087,Ambas,Todas,Grupo,10,,Estaciones de Servicio,29158604
Ancap Servicentro Danalin,Montevideo,Montevideo,Av. Italia 2905 y Brito Foresti 11600 Montevideo Departamento de Montevideo,0:00:00,23:59:59,,,http://www.ducsa.com.uy/estaciones,Nafta y viveres,http://www.ducsa.com.uy/estaciones,3491027,5627087,Ambas,Todas,Grupo,10,,Estaciones de Servicio,24877131
Axion Estación de Servicio,Montevideo,Montevideo,4RR3+V8G 11700 Montevideo Departamento de Montevideo,0:00:00,23:59:59,,,https://www.transportecarretero.com.uy/estaciones-de-servicio/esso-montevideo-montevideo-13.html,Nafta y viveres,https://lh5.googleusercontent.com/p/AF1QipNCPzh-1cGCM-TkUkxgUN0dXFOW-Zzhiq_zX-j-=w408-h306-k-no,3485781,5626671,Ambas,Todas,Grupo,10,,Estaciones de Servicio,0
