Nombre,Departamento,Ciudad,Direccion,HoraDeApertura,HoraDeCierre,Facebook,Instagram,Web,Descripcion,Latitud,Longitud,TipoDeLugar,RestriccionDeEdad,EnfoqueDePersonas,Megusta,Tipo,Telefonos
Seccional N 12,Montevideo,Montevideo,Av. Millan 3946,00:00:00,23:59:59,,,http://guiaderecursos.mides.gub.uy/72745/seccional-12-montevideo?recursoid=71744,Seccional oficial,3485463,5623185,Espacio cerrado,Todas,Grupo,368,Seccionales,23362145
Seccional N 15 Policia de Montevideo,Montevideo,Montevideo,Av. 8 de Octubre 3720,00:00:00,23:59:59,,,https://sitiosdememoria.uy/smlg-uymo-71,Seccional oficial,3487559,5617624,Espacio cerrado,Todas,Grupo,2787,Seccionales,20302315
Seccional N 14 Policia de Montevideo,Montevideo,Montevideo,Av. Italia 5569,00:00:00,23:59:59,,,https://policia.minterior.gub.uy/,Seccional oficial,3488339,5612623,Espacio cerrado,Todas,Grupo,4232,Seccionales,20302597
Seccional N 25 Policia de Montevideo,Montevideo,Montevideo,Sin Numero esquina Susana Pintos,00:00:00,23:59:59,,,http://www.minterior.gub.uy/,Seccional oficial,3483721,5615106,Espacio cerrado,Todas,Grupo,1623,Seccionales,20302761
Seccional N 5 Policia,Montevideo,Montevideo,Joaquin de Salterain 1221,00:00:00,23:59:59,,,https://policia.minterior.gub.uy/index.php/seccionales-jpm/seccional-5ta,Seccional oficial,3490662,5620487,Espacio cerrado,Todas,Grupo,2474,Seccionales,20302305
Seccional N 24 Policia de Montevideo,Montevideo,Montevideo,Camino Prusia 1895,00:00:00,23:59:59,,,https://policia.minterior.gub.uy/index.php/seccionales-jpm/seccional-24ta,Seccional oficial,3488740,5628787,Espacio cerrado,Todas,Grupo,1816,Seccionales,23111145
Seccional 18 | Jefatura de Policia de Montevideo,Montevideo,Montevideo,Gianino Castiglioni 7509,00:00:00,23:59:59,,,http://www.minterior.gub.uy/,Seccional oficial,3480059,5615690,Espacio cerrado,Todas,Grupo,3489,Seccionales,20302318
Seccional 16 de Policia | Jefatura de Policia de Montevideo,Montevideo,Montevideo,Carreras Nacionales 3407,00:00:00,23:59:59,,,https://www.minterior.gub.uy/,Seccional oficial,3486986,5624165,Espacio cerrado,Todas,Grupo,2878,Seccionales,20302630
Seccional N 21 de Policia de Montevideo,Montevideo,Montevideo,Alberico Passadore 1937,00:00:00,23:59:59,,,https://policia.minterior.gub.uy/index.php/seccionales-jpm/seccional-21ra,Seccional oficial,3480469,5629136,Espacio cerrado,Todas,Grupo,1084,Seccionales,23200214
Seccional N 11 Policia de Montevideo,Montevideo,Montevideo,Velsen Malvin Norte,00:00:00,23:59:59,,,http://guiaderecursos.mides.gub.uy/72744/seccional-11-montevideo?recursoid=71744,Seccional oficial,3489334,5618099,Espacio cerrado,Todas,Grupo,3322,Seccionales,26134541
